No.,Chemical compound,K,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse,InChI,InChIKey
271,β-Cyclocitral,9580000000,9.981365509,432-25-7,CC1=C(C=O)C(C)(C)CCC1,7,,https://doi.org/10.1016/j.cej.2019.122659,cyclo,Aromatic & PAHs,"InChI=1S/C10H16O/c1-8-5-4-6-10(2,3)9(8)7-11/h7H,4-6H2,1-3H3",MOQGCGNUWBPGTQ-UHFFFAOYSA-N
272,"1,4-Dioxan",3000000000,9.477121255,1330756-20-1,C1COCCO1,,,https://doi.org/10.1039/C6EW00242K,alcohol,Oxygenated organics,InChI=1S/C4H8O2/c1-2-6-4-3-5-1/h1-4H2,RYHBNJHYFVUHQT-UHFFFAOYSA-N
273,"1,4-Dioxan",4380000,6.641474111,1330756-20-1,C1COCCO1,5.8,,https://doi.org/10.1021/acs.estlett.6b00444,alcohol,Oxygenated organics,InChI=1S/C4H8O2/c1-2-6-4-3-5-1/h1-4H2,RYHBNJHYFVUHQT-UHFFFAOYSA-N
274,Tetrahydrofuran,2600000000,9.414973348,131063-11-1,C1CCOC1,5.4,,https://doi.org/10.1039/A907133D,alcohol,Oxygenated organics,InChI=1S/C4H8O/c1-2-4-5-3-1/h1-4H2,WYURNTSHIVDZCO-UHFFFAOYSA-N
275,Methyl chloride,230000000,8.361727836,4285-42-1,CCl,5.4,,https://doi.org/10.1039/b101932p,alkane,Aliphatic hydrocarbons,InChI=1S/CH3Cl/c1-2/h1H3,NEHMKBQYUWJMIP-UHFFFAOYSA-N
276,Dichloromethane,4700000,6.672097858,143824-88-8,C(Cl)Cl,5.4,,https://doi.org/10.1039/b101932p,alkane,Aliphatic hydrocarbons,InChI=1S/CH2Cl2/c2-1-3/h1H2,YMWUJEATGCHHMB-UHFFFAOYSA-N
277,Dichloromethane,9300000,6.968482949,143824-88-8,C(Cl)Cl,5.4,,https://doi.org/10.1039/B212666D,alkane,Aliphatic hydrocarbons,InChI=1S/CH2Cl2/c2-1-3/h1H2,YMWUJEATGCHHMB-UHFFFAOYSA-N
278,Trichloromethane,230000000,8.361727836,90143-35-4,C(Cl)(Cl)Cl,5.4,,https://doi.org/10.1039/B212666D,alkane,Aliphatic hydrocarbons,InChI=1S/CHCl3/c2-1(3)4/h1H,HEDRZPFGACZZDS-UHFFFAOYSA-N
279,Trichloroethylene,190000000,8.278753601,39628-69-8,C(=C(Cl)Cl)Cl,,,https://doi.org/10.1021/es0607638,alkane,Aliphatic hydrocarbons,InChI=1S/C2HCl3/c3-1-2(4)5/h1H,XSTXAVWGXDQKEL-UHFFFAOYSA-N
280,Tetrachloroethylene,280000000,8.447158031,32781-46-7,C(=C(Cl)Cl)(Cl)Cl,,,https://doi.org/10.1016/1010-6030(94)03903-8,alkane,Aliphatic hydrocarbons,InChI=1S/C2Cl4/c3-1(4)2(5)6,CYTYCFOTNPOANT-UHFFFAOYSA-N
281,Chloroacetone,9700000,6.986771734,78-95-5,CC(=O)CCl,,,https://doi.org/10.2495/EURO991441,alkane,Aliphatic hydrocarbons,"InChI=1S/C3H5ClO/c1-3(5)2-4/h2H2,1H3",BULLHNJGPPOUOX-UHFFFAOYSA-N
282,Chloroacetone,11000000,7.041392685,78-95-5,CC(=O)CCl,6,,https://doi.org/10.1039/A907133D,alkane,Aliphatic hydrocarbons,"InChI=1S/C3H5ClO/c1-3(5)2-4/h2H2,1H3",BULLHNJGPPOUOX-UHFFFAOYSA-N
283,Chloroacetone,13000000,7.113943352,78-95-5,CC(=O)CCl,6,,https://doi.org/10.1039/A907133D,alkane,Aliphatic hydrocarbons,"InChI=1S/C3H5ClO/c1-3(5)2-4/h2H2,1H3",BULLHNJGPPOUOX-UHFFFAOYSA-N
284,Dimethyl sulfoxide,6300000000,9.799340549,67-68-5,CS(=O)C,5–6,,https://doi.org/10.1021/jp044306u,"sulfide, disulfide",Sulfur-containing organics,InChI=1S/C2H6OS/c1-4(2)3/h1-2H3,IAZDPXIOMUYVGZ-UHFFFAOYSA-N
285,Dimethyl sulfone,820000,5.913813852,67-71-0,CS(=O)(=O)C,5–6,,https://doi.org/10.1021/jp044306u,"sulfide, disulfide",Sulfur-containing organics,"InChI=1S/C2H6O2S/c1-5(2,3)4/h1-2H3",HHVIBTZHLRERCL-UHFFFAOYSA-N
286,Methanesulfonate,490000,5.69019608,91419-94-2,CS(=O)(=O)[O-],5–6,,https://doi.org/10.1021/jp044306u,"sulfide, disulfide",Sulfur-containing organics,"InChI=1S/CH4O3S/c1-5(2,3)4/h1H3,(H,2,3,4)/p-1",AFVFQIVMOAPDHO-UHFFFAOYSA-M
287,Benzene,12000000000,10.07918125,6998-50-1,C1=CC=CC=C1,2.5–3,,https://doi.org/10.1021/jp9929768,cyclo,Aromatic & PAHs,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,UHOVQNZJYSORNB-UHFFFAOYSA-N
