No.,Chemical compound,K,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse,InChI,InChIKey
402,Ethyldiethanolamine,150,2.18,1170155-77-7,CCN(CCO)CCO,,,https://doi.org/10.1016/j.watres.2007.07.025,amine,Nitrogen-containing organics,"InChI=1S/C6H15NO2/c1-2-7(3-5-8)4-6-9/h8-9H,2-6H2,1H3",AKNUHUCEWALCOI-UHFFFAOYSA-N
403,Triethanolamine,88,1.94,68605-04-9,OCCN(CCO)CCO,,,https://doi.org/10.1016/j.watres.2007.07.025,amine,Nitrogen-containing organics,"InChI=1S/C6H15NO3/c8-4-1-7(2-5-9)3-6-10/h8-10H,1-6H2",GSEJCLTVZPLZKY-UHFFFAOYSA-N
404,Sulfadimethoxine,10315,4.01,345936-70-1,COc1cc(N[S](=O)(=O)c2ccc(N)cc2)nc(OC)n1,,,https://kinetics.nist.gov/solution/,sulfoxide,Sulfur-containing organics,"InChI=1S/C12H14N4O4S/c1-19-11-7-10(14-12(15-11)20-2)16-21(17,18)9-5-3-8(13)4-6-9/h3-7H,13H2,1-2H3,(H,14,15,16)",ZZORFUFYDOWNEF-UHFFFAOYSA-N
405,sulfamethoxypyridazine,520,2.72,1172846-03-5,COc1ccc(N[S](=O)(=O)c2ccc(N)cc2)nn1,,,https://doi.org/10.1002/jms.4191,sulfoxide,Sulfur-containing organics,"InChI=1S/C11H12N4O3S/c1-18-11-7-6-10(13-14-11)15-19(16,17)9-4-2-8(12)3-5-9/h2-7H,12H2,1H3,(H,13,15)",VLYWMPOKSSWJAL-UHFFFAOYSA-N
406,sotalol,0.72,-0.14,1246912-17-3,CC(C)NCC(O)c1ccc(N[S](C)(=O)=O)cc1,,,https://doi.org/10.1016/j.ecoenv.2017.07.020,sulfoxide,Sulfur-containing organics,"InChI=1S/C12H20N2O3S/c1-9(2)13-8-12(15)10-4-6-11(7-5-10)14-18(3,16)17/h4-7,9,12-15H,8H2,1-3H3",ZBMZVLHSJCTVON-UHFFFAOYSA-N
407,Methyl Orange,422.65,2.63,1326-49-4,[Na+].CN(C)c1ccc(cc1)N=Nc2ccc(cc2)[S]([O-])(=O)=O,,,https://kinetics.nist.gov/solution/,sulfoxide,Sulfur-containing organics,"InChI=1S/C14H15N3O3S.Na/c1-17(2)13-7-3-11(4-8-13)15-16-12-5-9-14(10-6-12)21(18,19)20;/h3-10H,1-2H3,(H,18,19,20);/q;+1/p-1",STZCRXQWRGQSJD-UHFFFAOYSA-M
408,Cimetidine,43.7,1.64,38603-74-6,CN=C(NCCSCc1nc[nH]c1C)NC#N,,,https://doi.org/10.1021/es070606o,"sulfide, disulfide",Sulfur-containing organics,"InChI=1S/C10H16N6S/c1-8-9(16-7-15-8)5-17-4-3-13-10(12-2)14-6-11/h7H,3-5H2,1-2H3,(H,15,16)(H2,12,13,14)",AQIXAKUUQRKLND-UHFFFAOYSA-N
409,3-Methylindole,5750,3.76,173345-59-0,Cc1c[nH]c2ccccc12,,,https://doi.org/10.1080/01919512.2013.794107,heterocycle,Heterocycles,"InChI=1S/C9H9N/c1-7-6-10-9-5-3-2-4-8(7)9/h2-6,10H,1H3",ZFRKQXVRDFCRJG-UHFFFAOYSA-N
410,Indole,19333.33,4.29,86691-38-5,[nH]1ccc2ccccc12,,,https://doi.org/10.1016/j.chemosphere.2021.131551,heterocycle,Heterocycles,"InChI=1S/C8H7N/c1-2-4-8-7(3-1)5-6-9-8/h1-6,9H",SIKJAQJRHWYJAI-UHFFFAOYSA-N
411,tembotrione,9690,3.99,912654-91-2,O=C(CCC1)C(C(C2=CC=C(S(C)(=O)=O)C(COCC(F)(F)F)=C2Cl)=O)C1=O,,,https://doi.org/10.1016/j.watres.2015.02.060,halogenated,Halogenated organics,"InChI=1S/C17H16ClF3O6S/c1-28(25,26)13-6-5-9(15(18)10(13)7-27-8-17(19,20)21)16(24)14-11(22)3-2-4-12(14)23/h5-6,14H,2-4,7-8H2,1H3",IUQAXCIUEPFPSF-UHFFFAOYSA-N
412,sulcotrione,9480,3.98,114680-61-4,C[S](=O)(=O)c1ccc(c(Cl)c1)C(=O)C2C(=O)CCCC2=O,,,https://doi.org/10.1016/j.watres.2015.02.060,halogenated,Halogenated organics,"InChI=1S/C14H13ClO5S/c1-21(19,20)8-5-6-9(10(15)7-8)14(18)13-11(16)3-2-4-12(13)17/h5-7,13H,2-4H2,1H3",PQTBTIFWAXVEPB-UHFFFAOYSA-N
413,17β-estradiol,110,2.04,1192354-74-7,OC(C=C1)=CC2=C1[C@@]3([H])CC[C@]4(C)[C@@H](O)CC[C@@]4([H])[C@]3([H])CC2,,,https://doi.org/10.1016/j.watres.2007.07.025,phenol,Oxygenated organics,"InChI=1S/C18H24O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-17,19-20H,2,4,6-9H2,1H3/t14-,15-,16+,17+,18+/m1/s1",VOXZDWNPVJITMN-ZBRFXRBCSA-N
