No.,Chemical compound,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse,InChI,InChIKey
489,BrCH2CH2Br,-1.853871964,106-93-4,C(CBr)Br,2,,NIST,halogenated,Halogenated organics,InChI=1S/C2H4Br2/c3-1-2-4/h1-2H2,PAAZPARNPHGIKF-UHFFFAOYSA-N
490,BrO-,2.716003344,14380-62-2,[O-]Br,8.2,,NIST,halogenated,Halogenated organics,InChI=1S/BrO/c1-2/q-1,JGJLWPGRMCADHB-UHFFFAOYSA-N
491,BrO-,2.51851394,14380-62-2,[O-]Br,6~7,,NIST,halogenated,Halogenated organics,InChI=1S/BrO/c1-2/q-1,JGJLWPGRMCADHB-UHFFFAOYSA-N
492,BrO3-,-3,15541-45-4,[O-]Br(=O)=O,4,,NIST,halogenated,Halogenated organics,InChI=1S/BrO3/c2-1(3)4/q-1,KYHSUUVXZLFMQS-UHFFFAOYSA-N
493,Bromobutide,2.34,75463-73-9,CC(C)(NC(=O)[C@H](Br)C(C)(C)C)c1ccccc1,,,https://doi.org/10.1016/j.jece.2024.112473,benzene,Aromatic & PAHs,"InChI=1S/C15H22BrNO/c1-14(2,3)12(16)13(18)17-15(4,5)11-9-7-6-8-10-11/h6-10,12H,1-5H3,(H,17,18)/t12-/m0/s1",WZDDLAZXUYIVMU-LBPRGKRZSA-N
494,Bromocresol green,1.89,62625-32-5,CC1=C(C(=C(C=C1C2(C3=CC=CC=C3S(=O)(=O)O2)C4=CC(=C(C(=C4C)Br)O)Br)Br)O)Br,,,10.1016/j.chemosphere.2014.05.068,diol,Polyfunctional / highly functionalized,"InChI=1S/C21H14Br4O5S/c1-9-12(7-14(22)19(26)17(9)24)21(13-8-15(23)20(27)18(25)10(13)2)11-5-3-4-6-16(11)31(28,29)30-21/h3-8,26-27H,1-2H3",FRPHFZCDPYBUAU-UHFFFAOYSA-N
495,Bromoform,-0.698970004,2909-52-6,C(Br)(Br)Br,,,https://doi.org/10.1016/0043-1354(83)90098-2,halogenated,Halogenated organics,InChI=1S/CHBr3/c2-1(3)4/h1H,DIKBFYAXUHHXCS-UHFFFAOYSA-N
496,Bromoform,-1.698970004,2909-52-6,C(Br)(Br)Br,2,,https://doi.org/10.1016/0043-1354(83)90098-2,halogenated,Halogenated organics,InChI=1S/CHBr3/c2-1(3)4/h1H,DIKBFYAXUHHXCS-UHFFFAOYSA-N
497,Bromophenol blue,0.728,115-39-9,C1=CC=C2C(=C1)C(OS2(=O)=O)(C3=CC(=C(C(=C3)Br)O)Br)C4=CC(=C(C(=C4)Br)O)Br,,,10.1016/j.chemosphere.2014.05.068,diol,Polyfunctional / highly functionalized,"InChI=1S/C19H10Br4O5S/c20-12-5-9(6-13(21)17(12)24)19(10-7-14(22)18(25)15(23)8-10)11-3-1-2-4-16(11)29(26,27)28-19/h1-8,24-25H",UDSAIICHUKSCKT-UHFFFAOYSA-N
498,Bromoxynil,2.77815125,1689-84-5,C1=C(C=C(C(=C1Br)O)Br)C#N,7,,10.1016/j.chemosphere.2009.11.014,halogenated,Halogenated organics,"InChI=1S/C7H3Br2NO/c8-5-1-4(3-10)2-6(9)7(5)11/h1-2,11H",UPMXNNIRAGDFEH-UHFFFAOYSA-N
499,Bromoxynil,2.715882851,1689-84-5,C1=C(C=C(C(=C1Br)O)Br)C#N,2,,10.1016/j.chemosphere.2009.11.014,halogenated,Halogenated organics,"InChI=1S/C7H3Br2NO/c8-5-1-4(3-10)2-6(9)7(5)11/h1-2,11H",UPMXNNIRAGDFEH-UHFFFAOYSA-N
500,Butylamine,5.07,1208080-07-2,CCCCN,,,https://doi.org/10.1016/j.jece.2024.112473,alkane,Aliphatic hydrocarbons,"InChI=1S/C4H11N/c1-2-3-4-5/h2-5H2,1H3",HQABUPZFAYXKJW-UHFFFAOYSA-N
501,Butylbenzyl phthalate,0.15,72170-45-7,CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,,,https://doi.org/10.1016/j.jece.2024.112473,diol,Polyfunctional / highly functionalized,"InChI=1S/C19H20O4/c1-2-3-13-22-18(20)16-11-7-8-12-17(16)19(21)23-14-15-9-5-4-6-10-15/h4-12H,2-3,13-14H2,1H3",IRIAEXORFWYRCZ-UHFFFAOYSA-N
502,Butylparaben,9.12,94-26-8,CCCCOC(=O)C1=CC=C(C=C1)O,12,,"https://doi.org/10.1080/10826070701738787, https://doi.org/10.1016/j.chemosphere.2010.09.015.",alcohol,Oxygenated organics,"InChI=1S/C11H14O3/c1-2-3-8-14-11(13)9-4-6-10(12)7-5-9/h4-7,12H,2-3,8H2,1H3",QFOHBWFCKVYLES-UHFFFAOYSA-N
503,Butylparaben,2.68,94-26-8,CCCCOC(=O)C1=CC=C(C=C1)O,2,,"https://doi.org/10.1080/10826070701738787, https://doi.org/10.1016/j.chemosphere.2010.09.013.",alcohol,Oxygenated organics,"InChI=1S/C11H14O3/c1-2-3-8-14-11(13)9-4-6-10(12)7-5-9/h4-7,12H,2-3,8H2,1H3",QFOHBWFCKVYLES-UHFFFAOYSA-N
504,Butylparaben,6.41,94-26-8,CCCCOC(=O)C1=CC=C(C=C1)O,7,,"https://doi.org/10.1080/10826070701738787, https://doi.org/10.1016/j.chemosphere.2010.09.014.",alcohol,Oxygenated organics,"InChI=1S/C11H14O3/c1-2-3-8-14-11(13)9-4-6-10(12)7-5-9/h4-7,12H,2-3,8H2,1H3",QFOHBWFCKVYLES-UHFFFAOYSA-N
505,C2H5CH(NH2)CH3,4.716003344,13952-84-6,CC(N)CC,,,NIST,alkane,Aliphatic hydrocarbons,"InChI=1S/C4H11N/c1-3-4(2)5/h4H,3,5H2,1-2H3",BHRZNVHARXXAHW-UHFFFAOYSA-N
506,C2H5CHO,0.397940009,123-38-6,CCC=O,2,,NIST,alkane,Aliphatic hydrocarbons,"InChI=1S/C3H6O/c1-2-3-4/h3H,2H2,1H3",NBBJYMSMWIIQGU-UHFFFAOYSA-N
